"run_id","classifier","cone_projection","xzero_prediction","source_class","source_class_name","target_class","target_class_name","target_class_conf_std","target_class_conf_mean","original_class_conf_std","original_class_conf_mean","fid","target_class_validity","original_class_validity","lp_norm_1","lp_norm_1_5","lp_norm_2","lpips","oracle_MNR-RN50","oracle_tcv_MNR-RN50","oracle_AlexNet (pretrained)","oracle_tcv_AlexNet (pretrained)","oracle_AlexNet (random init)","oracle_tcv_AlexNet (random init)","oracle_UnetEncoder","oracle_tcv_UnetEncoder","oracle_ConvNeXt-L","oracle_tcv_ConvNeXt-L","oracle_SIMCLR","oracle_tcv_SIMCLR","oracle_SwinTFL","oracle_tcv_SwinTFL"
"run_mashed-potato(935)_to_carbonara(959)","AlexNetClassifier","false","false","935","mashed potato","959","carbonara","0.40363383293151855","0.5079687833786011","0.17737330496311188","0.12724944949150085","1.1775401830673218","0.6200000047683716","0.1599999964237213","745298.1875","4563.333984375","393.68115234375","0.22470322251319885","0.1599999964237213","0.019999999552965164","1","0.6200000047683716","0","0","0.25999999046325684","0.07999999821186066","0.17999999225139618","0.03999999910593033","0","0","0.19999998807907104","0.03999999910593033"
"run_mashed-potato(935)_to_alp(970)","AlexNetClassifier","false","false","935","mashed potato","970","alp","0.05821506679058075","0.021916382014751434","0.15386873483657837","0.11205683648586273","0.9533326625823975","0.05999999865889549","0.23999999463558197","748863.5","4566.61962890625","392.7533264160156","0.22584819793701172","0.3400000035762787","0","1","0.05999999865889549","0","0","0.35999998450279236","0","0.25999999046325684","0","0","0","0.23999999463558197","0"
"run_mashed-potato(935)_to_cliff(972)","AlexNetClassifier","false","false","935","mashed potato","972","cliff","0.16716578602790833","0.06082634627819061","0.13935036957263947","0.10839004069566727","0.5162924528121948","0.11999999731779099","0.17999999225139618","756145.625","4611.701171875","396.6075744628906","0.22282394766807556","0.35999998450279236","0","1","0.11999999731779099","0","0","0.2800000011920929","0","0.19999998807907104","0","0","0","0.2199999988079071","0"
"run_mashed-potato(935)_to_volcano(980)","AlexNetClassifier","false","false","935","mashed potato","980","volcano","0.270146906375885","0.1391235888004303","0.2192542403936386","0.20086173713207245","0.7924053072929382","0.17999999225139618","0.35999998450279236","753537.375","4599.2861328125","395.8830261230469","0.21992123126983643","0.4599999785423279","0","1","0.17999999225139618","0","0","0.35999998450279236","0","0.4399999976158142","0","0","0","0.3999999761581421","0"
"run_mashed-potato(935)_to_pizza(963)","AlexNetClassifier","false","false","935","mashed potato","963","pizza","0.2940179407596588","0.20611540973186493","0.17950041592121124","0.17795853316783905","0.4428880512714386","0.35999998450279236","0.3400000035762787","755805.0625","4613.02734375","396.87713623046875","0.21535973250865936","0.23999999463558197","0","1","0.35999998450279236","0","0","0.3400000035762787","0","0.35999998450279236","0","0","0","0.3799999952316284","0"
"run_mashed-potato(935)_to_burrito(965)","AlexNetClassifier","false","false","935","mashed potato","965","burrito","0.29827913641929626","0.404069721698761","0.1567700058221817","0.12996666133403778","0.45011404156684875","0.6399999856948853","0.2199999988079071","754501.6875","4597.54931640625","395.0134582519531","0.21610984206199646","0.17999999225139618","0","1","0.6399999856948853","0","0","0.23999999463558197","0.03999999910593033","0.23999999463558197","0.019999999552965164","0","0","0.23999999463558197","0"
"run_coral-reef(973)_to_leopard(288)","AlexNetClassifier","false","false","973","coral reef","288","leopard","0.31170690059661865","0.25547242164611816","0.06480266898870468","0.042248740792274475","1.693504810333252","0.3400000035762787","0.05999999865889549","1287274.25","7795.8837890625","656.8721923828125","0.3109973073005676","0.11999999731779099","0","1","0.3400000035762787","0","0","0.11999999731779099","0","0.09999999403953552","0","0","0","0.07999999821186066","0"
"run_coral-reef(973)_to_tiger(292)","AlexNetClassifier","false","false","973","coral reef","292","tiger","0.3394094407558441","0.23570041358470917","0.07233641296625137","0.04012708365917206","1.40871000289917","0.35999998450279236","0.03999999910593033","1288187.75","7791.89453125","656.08740234375","0.3069799542427063","0.09999999403953552","0","1","0.35999998450279236","0","0","0.09999999403953552","0","0.11999999731779099","0","0","0","0.09999999403953552","0"
"run_coral-reef(973)_to_golden-retriever(207)","AlexNetClassifier","false","false","973","coral reef","207","golden retriever","0.17259283363819122","0.10155785083770752","0.09181574732065201","0.05053854361176491","1.510140061378479","0.2199999988079071","0.09999999403953552","1291085","7807.94384765625","657.3359375","0.3044295310974121","0.11999999731779099","0","1","0.2199999988079071","0","0","0.09999999403953552","0","0.11999999731779099","0","0","0","0.11999999731779099","0"
"run_coral-reef(973)_to_Labrador-retriever(208)","AlexNetClassifier","false","false","973","coral reef","208","Labrador retriever","0.16334760189056396","0.06240801885724068","0.07915212959051132","0.03727605193853378","1.6590536832809448","0.09999999403953552","0.05999999865889549","1281307","7753.46630859375","653.1524658203125","0.29954296350479126","0.1599999964237213","0","1","0.09999999403953552","0","0","0.14000000059604645","0","0.14000000059604645","0","0","0","0.14000000059604645","0"
